algorithm,fid,dim,max_iter,fes,seed,fbest,secs
QSO-time,1,30,500,15030,42,1248804.4306746342,0.6321916580200195
QSO-time,1,30,500,15030,43,620526.2205058482,0.6479451656341553
QSO-time,1,30,500,15030,44,643254.7336597177,0.6085836887359619
QSO-time,1,30,500,15030,45,734771.9590747572,0.6087417602539062
QSO-time,1,30,500,15030,46,1173418.9067688696,0.6110570430755615
QSO-time,1,30,500,15030,47,410825.81421021314,0.5797140598297119
QSO-time,1,30,500,15030,48,2312481.433832868,0.5852551460266113
QSO-time,1,30,500,15030,49,829621.0243601598,0.5737760066986084
QSO-time,1,30,500,15030,50,624861.9755482931,0.5674512386322021
QSO-time,1,30,500,15030,51,877162.4339106241,0.5830445289611816
QSO-stagnation,1,30,500,15030,42,169953.7630042042,0.5804684162139893
QSO-stagnation,1,30,500,15030,43,352720.665344618,0.5834159851074219
QSO-stagnation,1,30,500,15030,44,234371.591118544,0.5953683853149414
QSO-stagnation,1,30,500,15030,45,338441.5855288908,0.6222419738769531
QSO-stagnation,1,30,500,15030,46,355593.0566303926,0.5861823558807373
QSO-stagnation,1,30,500,15030,47,385276.26276824204,0.5854349136352539
QSO-stagnation,1,30,500,15030,48,143779.07416428896,0.6332900524139404
QSO-stagnation,1,30,500,15030,49,512758.3959369072,0.6155822277069092
QSO-stagnation,1,30,500,15030,50,391784.9670874114,0.5922389030456543
QSO-stagnation,1,30,500,15030,51,430639.8672996487,0.6340866088867188
QSO-diversity,1,30,500,15030,42,9235462870.174097,0.5913481712341309
QSO-diversity,1,30,500,15030,43,48131264390.81722,0.5518310070037842
QSO-diversity,1,30,500,15030,44,34840357466.99426,0.6251592636108398
QSO-diversity,1,30,500,15030,45,23632278182.693638,0.5867595672607422
QSO-diversity,1,30,500,15030,46,46749785692.52818,0.899744987487793
QSO-diversity,1,30,500,15030,47,23872393032.433716,0.7897853851318359
QSO-diversity,1,30,500,15030,48,17009981294.11554,1.0254778861999512
QSO-diversity,1,30,500,15030,49,27661143018.528046,1.0341475009918213
QSO-diversity,1,30,500,15030,50,31079445728.84556,0.9180419445037842
QSO-diversity,1,30,500,15030,51,21181745259.3389,1.0053331851959229
QSO-clip,1,30,500,15030,42,941213.0925476106,0.8168411254882812
QSO-clip,1,30,500,15030,43,576211.8893420271,0.7410404682159424
QSO-clip,1,30,500,15030,44,962622.9499636139,0.9837296009063721
QSO-clip,1,30,500,15030,45,486663.6144174591,0.7340736389160156
QSO-clip,1,30,500,15030,46,2920600.58712041,0.846855878829956
QSO-clip,1,30,500,15030,47,451664.7765478028,0.9015271663665771
QSO-clip,1,30,500,15030,48,1204629.0713927562,0.8349874019622803
QSO-clip,1,30,500,15030,49,321155.2457403867,0.9289517402648926
QSO-clip,1,30,500,15030,50,1075932.6377662413,0.791999101638794
QSO-clip,1,30,500,15030,51,1095316.6886635092,0.7158644199371338
DE,1,30,500,15030,42,736592.6355146762,1.8935365676879883
DE,1,30,500,15030,43,12351.640446662394,1.8646214008331299
DE,1,30,500,15030,44,660897538.1420004,1.8211405277252197
DE,1,30,500,15030,45,35259.4967752332,1.8108789920806885
DE,1,30,500,15030,46,29253.82182293051,1.8561573028564453
DE,1,30,500,15030,47,87358420.89875172,1.8284814357757568
DE,1,30,500,15030,48,82211.9466832963,1.879969596862793
DE,1,30,500,15030,49,3327.8531361290516,1.7952988147735596
DE,1,30,500,15030,50,297390044.86287296,1.7900962829589844
DE,1,30,500,15030,51,19749717.55266533,1.8644437789916992
GWO,1,30,500,15030,42,1772097501.4349005,2.311960220336914
GWO,1,30,500,15030,43,2313451683.467084,2.056196689605713
GWO,1,30,500,15030,44,2345279069.926649,3.0002527236938477
GWO,1,30,500,15030,45,2394767626.645142,2.9522011280059814
GWO,1,30,500,15030,46,1457869577.2818377,2.6115477085113525
