algorithm,fid,dim,max_iter,fes,seed,fbest,secs
QSO-time,1,30,500,15030,42,1248804.4306746342,0.357466459274292
QSO-time,1,30,500,15030,43,620526.2205058482,0.3646111488342285
QSO-time,1,30,500,15030,44,643254.7336597177,0.3585069179534912
QSO-time,1,30,500,15030,45,734771.9590747572,0.32636547088623047
QSO-time,1,30,500,15030,46,1173418.9067688696,0.3584113121032715
QSO-time,1,30,500,15030,47,410825.81421021314,0.38970088958740234
QSO-time,1,30,500,15030,48,2312481.433832868,0.36341238021850586
QSO-time,1,30,500,15030,49,829621.0243601598,0.38715434074401855
QSO-time,1,30,500,15030,50,624861.9755482931,0.36892008781433105
QSO-time,1,30,500,15030,51,877162.4339106241,0.36687207221984863
QSO-time,1,30,500,15030,52,621188.9901739175,0.36226558685302734
QSO-time,1,30,500,15030,53,660352.9672245331,0.36200714111328125
QSO-time,1,30,500,15030,54,918184.2180082736,0.3600735664367676
QSO-time,1,30,500,15030,55,1762282.3352285537,0.3616480827331543
QSO-time,1,30,500,15030,56,433272.7277364431,0.35117530822753906
QSO-time,1,30,500,15030,57,639098.5075965038,0.39566779136657715
QSO-time,1,30,500,15030,58,906509.6143561435,0.3567020893096924
QSO-time,1,30,500,15030,59,2665208.146067418,0.3554389476776123
QSO-time,1,30,500,15030,60,1131439.0258130864,0.3462212085723877
QSO-time,1,30,500,15030,61,1408857.840565478,0.3473677635192871
QSO-time,1,30,500,15030,62,998941.7801594385,0.34909701347351074
QSO-time,1,30,500,15030,63,1191714.0328168094,0.35442113876342773
QSO-time,1,30,500,15030,64,425883.86850918445,0.3409538269042969
QSO-time,1,30,500,15030,65,572867.480335946,0.3485100269317627
QSO-time,1,30,500,15030,66,344920.6226137905,0.3681833744049072
QSO-time,1,30,500,15030,67,268156.2009880592,0.3651771545410156
QSO-time,1,30,500,15030,68,1096763.427305226,0.3647184371948242
QSO-time,1,30,500,15030,69,1860195.9830306075,0.3609652519226074
QSO-time,1,30,500,15030,70,2564497.238262209,0.3574197292327881
QSO-time,1,30,500,15030,71,593369.8987365208,0.3618476390838623
PSO,1,30,500,15030,42,1026808909.1426088,0.26593494415283203
PSO,1,30,500,15030,43,7473.30785987522,0.2725188732147217
PSO,1,30,500,15030,44,1184059843.1836464,0.2589244842529297
PSO,1,30,500,15030,45,20942.501923330365,0.2564971446990967
PSO,1,30,500,15030,46,46730.13223331516,0.2672290802001953
PSO,1,30,500,15030,47,2234612598.790826,0.26003146171569824
PSO,1,30,500,15030,48,828.3204786634687,0.27164149284362793
PSO,1,30,500,15030,49,4030.2059604507626,0.2590067386627197
PSO,1,30,500,15030,50,1026798887.3562708,0.2542746067047119
PSO,1,30,500,15030,51,1836278443.033904,0.25217342376708984
PSO,1,30,500,15030,52,2962.777729033304,0.2520561218261719
PSO,1,30,500,15030,53,5813.733058644025,0.24875617027282715
PSO,1,30,500,15030,54,588.7506556509262,0.24457573890686035
PSO,1,30,500,15030,55,1582381931.3284993,0.24334263801574707
PSO,1,30,500,15030,56,20949.244797370324,0.25165271759033203
PSO,1,30,500,15030,57,6960.821599496616,0.24376225471496582
PSO,1,30,500,15030,58,2028129444.8151224,0.24627900123596191
PSO,1,30,500,15030,59,1184049084.1807532,0.24390053749084473
PSO,1,30,500,15030,60,1253.04568492613,0.24840903282165527
PSO,1,30,500,15030,61,1390.9776340494718,0.2453453540802002
PSO,1,30,500,15030,62,8386541646.5098095,0.24583721160888672
PSO,1,30,500,15030,63,1026802476.8128762,0.24384403228759766
